,Country,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
102,IDA total,1250.49823115765,1347.43393016658,1422.52551535685,1370.73525008276,1299.2676739132698,1312.7258884829303
103,IDA blend,1859.4382790254397,1977.51020180061,2105.04177801938,1957.86344151847,1771.73912815028,1714.46986572736
104,Indonesia,3694.348946032371,3623.91158235134,3491.6247908576697,3331.69512758628,3562.84575641971,3837.65173121117
105,IDA only,933.773107165521,1019.8662497666301,1066.5482404664199,1066.1569440534,1057.25582367529,1110.35579689092
106,Isle of Man,76104.68136722701,80431.6727965138,88974.2286497928,81606.2800333934,79155.54167209599,80989.17221145019
107,India,1443.87952939042,1449.6059123387,1573.88149211052,1605.6054335548802,1732.56426178428,1981.6510498992002
108,Not classified,,,,,,
109,Ireland,48917.8975571766,51590.1884453629,55492.982676212996,61995.422778992805,63197.0823744196,69822.3471789095
110,"Iran, Islamic Rep.",7927.84690171722,6018.324473324711,5585.526757583029,4904.32687747976,5253.42484259991,5520.310789323821
111,Iraq,6836.027313463101,7076.55460775667,6818.8046210291,4989.80307473071,4776.7264993933095,5205.28825481998
112,Iceland,45910.020554989904,49522.2365873909,54241.9346550193,52564.4291863302,61466.803966627594,71310.93925350861
113,Israel,32511.2378524925,36309.4688256886,37678.889774318195,35776.795171017206,37321.6240366845,40541.8620907084
114,Italy,35053.526244257206,35549.9746972954,35518.4152916749,30230.2263021296,30939.7142462298,32406.720315013397
115,Jamaica,5209.85193130013,4989.17139091154,4833.79031821405,4907.50371974316,4843.33847410864,5069.18383810726
116,Jordan,3877.3393446377795,3998.02747275799,4072.76547535039,4105.44896083238,4103.73359991068,4162.820686572561
117,Japan,48603.4766497749,40454.447457890295,38109.4121125573,34524.4698609337,38761.8181501925,38386.5111457057
118,Kazakhstan,12386.7000029472,13890.6317716835,12807.2606866152,10510.7718884148,7714.84184376024,9247.58133129626
119,Kenya,1136.87140571776,1210.3880140819501,1315.80453537238,1336.8833488560301,1410.5275680901098,1572.33549593781
120,Kyrgyz Republic,1177.9747348784801,1282.43716202467,1279.7697826598599,1121.0828351073899,1120.66651300848,1242.76964282023
121,Cambodia,950.880345993697,1013.4204006153999,1093.49619050796,1162.90491997151,1269.59125737542,1385.2599796333
122,Kiribati,1788.50542068887,1715.76533141614,1642.76259749601,1542.5752495838,1584.80744578963,1640.50010436018
123,St. Kitts and Nevis,16044.7054788266,16684.9530184254,18052.0359647472,18029.325538651203,18811.8733745852,19155.2894041125
124,"Korea, Rep.",25466.7605170594,27182.7343101935,29249.5752209742,28732.2310762599,29288.8704389833,31616.8434004683
125,Kuwait,51979.1051680637,49388.13741193809,44062.3170375209,29869.5293908248,27653.066767764903,29759.4364865575
126,Latin America & Caribbean (excluding high income),9825.14345387872,9936.31676664428,10062.2692262246,8461.077390774459,8142.770024038259,8990.52450414889
127,Lao PDR,1581.3954034942499,1825.6651133067603,1998.3352147169896,2134.7117956779603,2308.8004822007897,2423.8462031921
128,Lebanon,7950.69537825963,7931.080475845259,7686.256029964549,7644.548657182109,7629.8911171195205,7801.178658075551
129,Liberia,657.936256349955,721.9300554052479,721.182794835652,710.383857717515,714.623392230031,698.7017643551101
130,Libya,13025.281393441299,10363.789489455101,6466.9102701438405,4337.919139193479,4035.1943155046997,5756.69844996569
131,St. Lucia,9086.79946207544,9378.56236298604,9843.91581872176,10093.8997626748,10361.8141037985,11047.4449858109
132,Latin America & Caribbean,10186.9594620423,10326.1343581426,10417.3537399993,8870.63068044006,8577.358726484179,9432.971185206241
133,Least developed countries: UN classification,935.481980910771,997.2093155948779,1053.0286154984599,1014.38037293746,978.741307534202,1041.22827629761
134,Low income,790.496390692704,845.7405124195379,883.9699918565311,860.5686205853681,774.507273531087,779.608317856324
135,Liechtenstein,149010.224898665,173058.317372602,178845.631017897,167290.93998390698,165629.190482925,173356.051288416
136,Sri Lanka,3350.52187589289,3610.2893630489793,3819.25352972265,3843.7806718444203,3886.2915016523903,4077.0437212074703
137,Lower middle income,1775.6242548889602,1843.33214328832,1935.2398738514999,1886.7258935167001,1920.04768626716,2034.89358089237
138,Low & middle income,4393.63288988886,4593.9005886224295,4709.48356996712,4415.52291117125,4380.32809255942,4749.35641598002
139,Lesotho,1253.69620212555,1193.71325665948,1223.33303163915,1152.1398272487402,1043.56979182005,1150.07917252047
140,Late-demographic dividend,7978.58535550333,8548.159628787651,8818.86979587622,8218.384972349659,8187.21315976328,9031.340768891
141,Lithuania,14339.2878672896,15702.143059565,16548.406405238602,14249.1149666026,14999.4796391329,16882.639471199498
142,Luxembourg,106749.013622989,113625.13289956,118823.648368575,101376.496574339,104278.390971905,107627.151006695
143,Latvia,13850.6428153434,15041.1744584981,15740.326749071899,13698.9379476476,14153.4149226916,15586.58189392
144,"Macao SAR, China",76291.8474900231,89287.4540184115,93777.1067959425,75340.9869811152,74061.0860345658,81516.6749248075
145,St. Martin (French part),,,,,,
146,Morocco,2912.65827494029,3121.68117550498,3171.69919227376,2875.25798516781,2896.72000268117,3036.32525487301
147,Monaco,157515.899069445,177664.115616089,189422.21876884,166011.50913116,170028.655717864,167517.059727856
148,Moldova,3045.73987422417,3322.0384362615005,3328.80144892125,2732.45711293733,2880.43928129296,3509.69345025814
149,Madagascar,518.1529543021201,541.066199955123,530.861345678745,467.235399432808,475.95541718306504,515.29272487784
150,Maldives,7265.613655566691,7928.457365148241,8499.36576172668,9033.390412987199,9209.28862477108,9540.63434888323
151,Middle East & North Africa,8894.861578727121,8652.3475823771,8537.2588240188,7371.99833537827,7265.221145709151,7411.42312942984
152,Mexico,10241.7279153745,10725.1833166036,10922.3760488647,9605.95235103139,8739.756042809291,9278.41816833763
153,Marshall Islands,3224.33838179029,3296.6981629140505,3230.02326028787,3213.8372882536305,3473.7750064951897,3666.69537359193
154,Middle income,4770.00524510207,4991.390481286629,5121.33079419836,4804.48157801524,4778.7628225434,5193.16390044498
155,North Macedonia,4698.14129350594,5210.67583028154,5468.48086914212,4840.273122867829,5129.1589602370295,5430.87421029797
156,Mali,778.619285773713,805.032838043922,848.302757966684,751.478668644525,780.387870004561,830.557408816505
157,Malta,21916.4115923962,23837.279991256,26008.8277215807,24002.5232912389,25133.0456471795,27239.0701049375
158,Myanmar,1165.79432896131,1162.33144011893,1251.8207645081402,1287.43048657119,1266.5463381486802,1291.54241301307
159,Middle East & North Africa (excluding high income),5011.26830580966,4605.55067242475,4466.55648527284,3944.3492513892998,3928.7925876176396,3793.93201839617
160,Montenegro,6586.7212793222,7189.2932865373705,7388.14779373126,6517.1637516252795,7033.60489868635,7803.41113682269
161,Mongolia,4351.8869200565005,4366.07590145025,4158.52571473091,3918.5791738955395,3660.15074616061,3669.4175403988
162,Northern Mariana Islands,13827.7696967465,14274.240654205601,15278.9078745141,16690.5700968089,22246.7430768136,28305.222587603
163,Mozambique,657.6453378196679,664.0782118277671,673.969955508106,589.859028149831,428.926487995524,461.415094120589
164,Mauritania,1815.2194292114498,1892.09548717758,1677.10816613189,1524.0728825221202,1536.8541496433802,1578.1141735594902
165,Mauritius,9291.22761861899,9637.002650009581,10153.9382184867,9260.44730250635,9681.618566896741,10484.9083620411
166,Malawi,391.561832360636,348.43026964057196,371.26974962571296,380.59703314093804,315.777326372575,356.71757315336896
167,Malaysia,10817.4428742856,10970.1232849014,11319.0797572756,9955.24212653611,9817.740860962142,10254.2340242588
168,North America,51723.2256622493,53077.242077692805,54637.832590531696,55502.6914987937,56364.855162767,58467.973813898796
169,Namibia,5942.273787511171,5377.7273269301095,5435.171911251629,4869.37840629792,4523.0912697799895,5303.30913333229
170,New Caledonia,,,,,,
171,Niger,526.35096555995,548.892954823143,562.121844645643,483.339282202639,494.718713458115,516.8882471809491
172,Nigeria,2746.99178858383,2998.0728426411797,3222.6935372558696,2730.4303237015,2175.99967021858,1968.5595883054398
173,Nicaragua,1760.4543865498601,1811.6391933352802,1934.0695083466396,2049.84968976149,2107.56717992428,2159.1630793598397
174,Netherlands,50073.0056559308,52184.0618504931,52830.1742328055,45175.2318933798,46007.852920654695,48675.222335021295
175,Norway,101524.141851985,102913.450843674,97019.18275274619,74355.5158575643,70459.1825041029,75496.7540581998
176,Nepal,698.4664794160859,715.923743046061,743.413381296219,792.552890593381,777.147595512165,911.444266521258
177,Nauru,9429.63337725871,9101.91698033437,8829.35671886048,6956.253800553929,7670.11640425255,8510.86840824456
178,New Zealand,39982.7543013783,42962.988214980294,44553.28221083849,38615.995184909305,40105.6133867135,42849.426324701
179,OECD members,37184.8134999025,37447.5045647114,37980.4861126146,35605.239193283596,36030.9131925758,37370.0489908713
180,Oman,21902.5813563661,20926.5540495711,20131.9167222582,16028.7513645532,14618.8753761098,15130.943744394199
181,Other small states,15211.576977308401,15541.8964812381,15741.339788796799,12793.9310514073,12385.063691733001,13404.4097361322
182,Pakistan,1198.10900052752,1208.90431029644,1251.16410422834,1356.66775582649,1368.45432627629,1464.99330546855
183,Panama,10722.2836326295,11889.127627438502,12796.0700430496,13630.307973794499,14343.9636291397,15150.345612161002
184,Peru,6528.97221785312,6756.75276926556,6672.8802554854,6229.101696125961,6204.99726003927,6710.508028960379
185,Philippines,2694.3054729789396,2871.4309017841497,2959.6484521205102,3001.04037106857,3073.6536149695803,3123.2342294495097
186,Palau,11967.307256235801,12688.1972054981,13794.7917848633,15871.842626662901,16932.3328631876,16078.2681940701
187,Papua New Guinea,2790.6766691473604,2729.89190578265,2920.7837208020196,2679.34558781427,2509.6314572831,2695.2518833116
188,Poland,13145.539262786499,13781.0626053813,14347.9145754456,12572.426604556102,12431.8158916231,13861.3093648235
189,Pre-demographic dividend,1678.43249469713,1791.2654899700399,1856.52600548538,1589.45339244249,1398.9694147308098,1414.80084279035
190,Puerto Rico,27944.733893742403,28513.1657351067,28981.457330586603,29763.4883013861,30627.1634017011,31108.752750891203
191,"Korea, Dem. People’s Rep.",,,,,,
192,Portugal,20564.8898617969,21647.0418118869,22074.3007634216,19242.3664710981,19978.401214968002,21490.429863104
193,Paraguay,5183.08287691315,5926.83286284344,6102.943232723261,5406.703857083379,5319.41021789703,5680.58076826353
194,West Bank and Gaza,2834.02152463393,3060.3123893102,3046.8217984481703,2967.8517465197497,3074.29115236515,3254.48588658763
195,Pacific island small states,3568.8029603692207,3654.8266031520398,3919.67305283497,3776.19942145241,3899.58062674065,4132.18527007284
196,Post-demographic dividend,42149.353818075695,42388.8578810151,43064.3204187252,40584.2609627683,41289.5814414088,42879.591169801
197,French Polynesia,,,,,,
198,Qatar,85076.1479273998,85050.9109716822,83858.52837987231,63039.0165548075,57163.0609918357,61264.3964777979
199,Romania,8535.0468756267,9555.2442173314,10026.973578179399,8977.43738227167,9567.12934484744,10807.7953907179
200,Russian Federation,15420.874541327299,15974.644627051699,14095.648742954,9313.01362484996,8704.898413295941,10720.3325853448
201,Rwanda,728.6972971253709,726.180156859823,747.000511564279,754.906789007641,748.504418148739,772.3184717754281
202,South Asia,1364.41640319999,1381.8566265977402,1494.42076537038,1541.8036858143803,1651.08946256258,1866.88606656608
203,Saudi Arabia,25243.358698402404,24844.7443709487,24463.903163850096,20627.9327820675,19879.2975304177,20803.7425657324
204,Sudan,1457.89458202637,1557.2283100384197,1709.99960541964,1909.73875450207,1299.26119456743,1111.86844893858
205,Senegal,1329.98137880303,1376.0698157719198,1396.6582253392498,1219.24866243037,1269.9021081051599,1361.69958778497
206,Singapore,55546.4885386921,56967.4257940383,57562.5307937678,55646.618746950495,56828.2953471601,60913.74533349401
207,Solomon Islands,1913.2320125637302,1977.4514045231897,1996.7811843899499,1914.46792975705,1986.4162362744198,2059.0454237007602
208,Sierra Leone,566.378656937493,716.835304734774,714.7007123886959,588.2284527028489,501.41571285783203,499.38070781976
209,El Salvador,3428.38473639383,3509.5314926261603,3589.0421926289705,3705.57794598177,3805.9936662847294,3910.25719295906
210,San Marino,49985.349570180995,51572.5681707239,50806.534378386605,42650.3172583365,43842.3855205602,45394.2010273704
211,Somalia,,,,,,
212,Serbia,6015.94522756969,6755.07351070594,6600.0566499116,5585.1178082606,5756.3811935104395,6284.19280376523
213,Sub-Saharan Africa (excluding high income),1770.1596372002,1838.05574353651,1873.4918169151397,1662.58802761865,1492.8511189833898,1548.8015400679
214,South Sudan,1179.7398277289599,1779.4693342398002,1322.8202385055001,1119.6513326782301,,
215,Sub-Saharan Africa,1781.4331360474698,1849.6936095036103,1885.47256318323,1673.44929052822,1504.23840871572,1560.8873467414999
216,Small states,13484.666856008402,13774.492183126102,13965.96172728,11707.518481859599,11311.732900456398,12135.837789601599
217,Sao Tome and Principe,1340.5277021067698,1577.0182783171201,1782.7980593625198,1595.8646322225102,1710.1308978390302,1811.0128258881
218,Suriname,9201.008785300559,9402.23313695562,9472.00759951427,8561.974178551422,5539.06887190094,5626.7958159031705
219,Slovak Republic,17460.0468093549,18236.9807888867,18670.9301711227,16309.073235591999,16505.9750465561,17554.3083210444
220,Slovenia,22643.1002515007,23496.6023059673,24214.9220717273,20881.7667686947,21622.580683576,23500.7522308704
221,Sweden,58037.821319217306,61126.9431963979,60020.360457657196,51545.483609532195,51965.157153198496,53791.5087298403
222,Eswatini,4527.66898764161,4230.3440556779,4038.5572283991796,3689.51870561216,3447.695698505,3953.0889682413203
223,Sint Maarten (Dutch part),,,,,,
224,Seychelles,12006.68296237,14765.6739800428,14700.3343006837,14745.3414415607,15068.620324642,15906.0839204787
225,Syrian Arab Republic,,,,,,
226,Turks and Caicos Islands,21009.885809898402,21328.979010106203,23296.336905199503,24832.5963703066,25995.1724609535,25933.607436346498
227,Chad,967.352797482929,979.8124096381559,1020.28820350586,776.0195323080369,693.449386475774,665.94835269506
228,East Asia & Pacific (IDA & IBRD countries),5436.16037805804,5954.10667877778,6373.23857685174,6591.70467144063,6682.04869854955,7248.93113112798
229,Europe & Central Asia (IDA & IBRD countries),10396.818359533001,10964.1524092472,10314.4807744761,7997.067602601241,7651.578313325259,8538.356942856579
230,Togo,571.8067239441671,621.398853574683,640.934219628827,570.910279013434,597.471088804109,626.0915278911099
231,Thailand,5860.58250725599,6168.26298501219,5951.88370233604,5840.04652294326,5994.23147547156,6592.91490169864
232,Tajikistan,969.2964731442889,1048.22729256115,1104.1716894137599,929.0958572237461,802.5180040528239,806.041573098044
233,Turkmenistan,6675.18565772239,7304.287132309821,7962.239098406791,6432.68070195019,6389.548408334879,6587.09031628698
234,Latin America & the Caribbean (IDA & IBRD countries),10111.758071889699,10247.2140185891,10334.4306676485,8728.070160065641,8417.027467290842,9288.19957715145
235,Timor-Leste,1013.05045122024,1210.03329624593,1232.45683164031,1334.6619555193,1358.20169150129,1294.71553448905
236,Middle East & North Africa (IDA & IBRD countries),5036.72083221306,4623.47967975874,4483.0610397424,3955.55505989437,3938.53331081404,3799.78729071694
237,Tonga,4597.74230534531,4428.56648134984,4393.9408110033,4320.63799011384,3966.15652021899,4217.47650679527
238,South Asia (IDA & IBRD),1364.41640319999,1381.8566265977402,1494.42076537038,1541.8036858143803,1651.08946256258,1866.88606656608
239,Sub-Saharan Africa (IDA & IBRD countries),1781.4331360474698,1849.6936095036103,1885.47256318323,1673.44929052822,1504.23840871572,1560.88734674149
240,Trinidad and Tobago,19157.417036671202,20143.6644489582,20270.8593716518,18289.704340369,16176.9473700573,16238.1931916674
241,Tunisia,4152.6785870758295,4222.70324540611,4305.47416504834,3861.68853113497,3697.9308312606395,3481.22873876516
242,Turkey,11707.2597121001,12519.391425881899,12095.854571813501,10948.7246069027,10820.6338422108,10513.6484324378
243,Tuvalu,3507.94065504737,3454.8286921824897,3398.7064833763106,3197.77225194394,3255.92869342584,3572.4935789483293
244,Tanzania,867.867680563228,970.4169384250459,1030.0929174765301,947.933446487903,966.474622354379,1004.8411206644099
245,Uganda,783.7179210182879,803.509373918698,876.3543004615809,840.4015714557671,730.6250404962469,747.196907377979
246,Ukraine,3855.4177285673204,4029.7112516254497,3104.6432060954103,2124.6623187838,2187.73050991433,2640.67567655839
247,Upper middle income,7678.096345040401,8070.062902720009,8258.43775067411,7695.503938932359,7629.406855618659,8364.77042485029
248,Uruguay,15171.584663418798,16973.6742130217,16831.9729440778,15613.7642726429,15387.1440299446,17322.1473891166
