,Country,Region,CPI_2012,CPI_2013,CPI_2014,CPI_2015,CPI_2016,CPI_2017,World Economic Forum EOS,Global Insight Country Risk Ratings,PRS International Country Risk Guide,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,CO2_capita_2012,CO2_capita_2013,CO2_capita_2014,CO2_capita_2015,CO2_capita_2016,CO2_capita_2017,SDI_2012,SDI_2013,SDI_2014,SDI_2015,SDI_2016,SDI_2017,gender_eq_2012,gender_eq_2013,gender_eq_2014,gender_eq_2015,gender_eq_2016,gender_eq_2017,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,homicide_rate_2012,homicide_rate_2013,homicide_rate_2014,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,gini_index_2012,gini_index_2013,gini_index_2014,gini_index_2015,gini_index_2016,gini_index_2017,income_share_top10%_2012,income_share_top10%_2013,income_share_top10%_2014,income_share_top10%_2015,income_share_top10%_2016,income_share_top10%_2017,moderate_poverty_%_$5.50_2012,moderate_poverty_%_$5.50_2013,moderate_poverty_%_$5.50_2014,moderate_poverty_%_$5.50_2015,moderate_poverty_%_$5.50_2016,moderate_poverty_%_$5.50_2017,extreme_poverty_%_$1.90_2012,extreme_poverty_%_$1.90_2013,extreme_poverty_%_$1.90_2014,extreme_poverty_%_$1.90_2015,extreme_poverty_%_$1.90_2016,extreme_poverty_%_$1.90_2017,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
20,Australia,Asia Pacific,85.0,81.0,80.0,79.0,79.0,79.0,80.0,83.0,76.0,0.421,0.076,0.294,0.024,0.561,1.0,1.0,15.697,15.697,15.697,15.697,15.786,15.632,0.166,0.165,0.158,0.153,0.148,0.143,3.286,3.3,3.3,3.3,3.25,3.25,0.923,0.926,0.93,0.933,0.935,0.937,0.0,0.17,1.061,1.054,1.03,0.986,0.936,0.826,34.4,34.4,34.4,34.4,34.4,34.4,27.0,27.0,27.0,27.0,27.0,27.0,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,68012.148,68150.107,62510.791,56755.722,49971.131,54066.471
21,Bangladesh,Asia Pacific,26.0,27.0,25.0,25.0,26.0,26.0,17.0,22.0,50.0,0.199,0.047,0.001,0.001,0.095,1.0,1.0,0.44,0.44,0.44,0.44,0.448,0.475,0.61,0.619,0.628,0.638,0.648,0.658,3.5,3.5,3.5,3.5,3.5,3.0,0.564,0.572,0.58,0.588,0.599,0.609,5.0,1.4,2.724,2.876,2.921,2.582,2.273,2.222,32.4,32.4,32.4,32.4,32.4,32.4,26.8,26.8,26.8,26.8,26.8,26.8,84.3,84.3,84.3,84.3,84.3,84.3,14.5,14.5,14.5,14.5,14.5,14.5,883.105,981.84,1118.854,1248.453,1401.62,1563.914
22,Bhutan,Asia Pacific,63.0,63.0,65.0,65.0,65.0,65.0,59.0,71.0,46.955,0.009,0.13,0.048,0.002,0.162,1.0,1.0,4.197,4.197,4.197,4.197,4.21,4.255,0.623,0.626,0.634,0.637,0.64,0.643,4.0,4.0,4.0,4.0,4.0,4.0,0.588,0.594,0.6,0.606,0.61,0.615,0.0,0.98,4.704,3.379,3.379,1.649,1.222,1.744,38.8,38.8,38.8,38.8,38.8,37.4,30.7,30.14,29.58,29.02,28.46,27.9,44.3,43.22,42.14,41.06,39.98,38.9,2.2,2.06,1.92,1.78,1.64,1.5,2538.946,2472.714,2652.215,2752.664,2930.563,3286.575
23,China,Asia Pacific,39.0,40.0,36.0,37.0,40.0,40.0,53.0,47.0,32.0,0.199,0.098,0.025,0.005,0.153,1.0,1.0,6.637,6.637,6.637,6.637,6.575,6.678,0.598,0.566,0.55,0.532,0.514,0.496,3.286,3.3,3.3,3.3,3.25,3.25,0.72,0.727,0.734,0.742,0.749,0.753,7.0,0.95,0.815,0.764,0.72,0.654,0.611,0.562,42.2,39.7,39.2,38.6,38.5,38.5,31.5,30.3,29.7,29.4,29.4,29.4,44.4,36.4,31.5,27.2,24.0,24.0,6.5,1.9,1.4,0.7,0.5,0.5,6316.919,7050.646,7678.599,8066.942,8147.938,8879.438
24,Indonesia,Asia Pacific,32.0,32.0,34.0,36.0,37.0,37.0,40.0,34.0,50.0,0.07,0.14,0.088,0.005,0.25,1.0,1.0,1.778,1.778,1.778,1.778,1.74,1.88,0.727,0.733,0.736,0.737,0.738,0.739,3.286,3.3,3.3,3.3,3.25,3.25,0.684,0.688,0.692,0.696,0.7,0.704,0.0,0.74,0.586,0.55,0.501,0.577,0.494,0.435,39.7,40.0,39.4,39.7,38.6,38.1,32.3,32.2,31.8,32.4,30.5,29.6,71.4,68.7,66.6,64.3,59.7,55.8,9.5,7.3,6.2,5.8,5.2,4.5,3694.349,3623.912,3491.625,3331.695,3562.846,3837.652
25,Japan,Asia Pacific,74.0,74.0,76.0,75.0,72.0,72.0,78.0,71.0,76.0,0.049,0.11,0.028,0.004,0.346,0.0,1.0,9.092,9.092,9.092,9.092,9.035,8.938,0.325,0.338,0.335,0.319,0.303,0.287,3.286,3.3,3.3,3.3,3.25,3.25,0.897,0.9,0.903,0.906,0.91,0.913,0.0,0.42,0.334,0.288,0.308,0.284,0.283,0.24,32.9,32.9,32.9,32.9,32.9,32.9,26.4,26.4,26.4,26.4,26.4,26.4,1.2,1.2,1.2,1.2,1.2,1.2,0.7,0.7,0.7,0.7,0.7,0.7,48603.477,40454.447,38109.412,34524.47,38761.818,38386.511
26,Malaysia,Asia Pacific,49.0,50.0,52.0,50.0,49.0,49.0,56.0,59.0,41.0,0.175,0.15,0.097,0.009,0.429,1.0,1.0,7.175,7.175,7.175,7.175,6.934,6.674,0.586,0.528,0.515,0.493,0.471,0.449,3.286,3.3,3.3,3.3,3.25,3.25,0.782,0.787,0.792,0.797,0.801,0.802,-1.0,0.49,2.071,2.128,2.128,2.128,2.128,2.128,41.3,41.3,41.3,41.0,41.0,41.0,31.8,31.8,31.55,31.3,31.3,31.3,4.0,4.0,3.35,2.7,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,10817.443,10970.123,11319.08,9955.242,9817.741,10254.234
27,Mongolia,Asia Pacific,36.0,38.0,39.0,39.0,38.0,38.0,38.0,47.0,32.0,0.199,0.145,0.048,0.005,0.958,1.0,1.0,5.75,5.75,5.75,5.75,5.94,6.267,0.735,0.738,0.737,0.736,0.735,0.734,4.0,4.0,4.0,4.0,4.0,4.0,0.724,0.728,0.732,0.736,0.73,0.729,-1.0,0.66,7.045,7.114,7.245,7.137,6.02,6.134,33.8,33.8,32.0,32.0,32.3,32.3,26.2,25.85,25.5,25.55,25.6,25.6,23.5,20.85,18.2,24.4,30.6,30.6,0.4,0.3,0.2,0.35,0.5,0.5,4351.887,4366.076,4158.526,3918.579,3660.151,3669.418
28,Myanmar,Asia Pacific,15.0,21.0,21.0,22.0,28.0,28.0,23.0,22.0,24.0,0.199,0.121,0.048,0.001,0.101,1.0,1.0,0.356,0.356,0.356,0.356,0.395,0.57,0.591,0.601,0.607,0.613,0.619,0.625,3.286,3.0,3.0,3.0,3.0,3.0,0.544,0.551,0.558,0.565,0.571,0.577,2.0,1.39,2.793,2.388,2.353,2.187,2.258,2.258,38.1,38.1,38.1,38.1,38.1,30.7,31.7,31.7,31.7,31.7,28.6,25.5,62.0,62.0,62.0,62.0,58.15,54.3,4.8,4.8,4.8,4.8,3.1,1.4,1165.794,1162.331,1251.821,1287.43,1266.546,1291.542
29,Pakistan,Asia Pacific,27.0,28.0,29.0,30.0,32.0,32.0,29.0,34.0,32.0,0.08,0.09,0.008,0.002,0.159,1.0,0.0,0.796,0.796,0.796,0.796,0.85,0.931,0.576,0.58,0.59,0.594,0.598,0.602,2.5,2.5,2.5,2.5,2.5,2.5,0.53,0.537,0.544,0.55,0.556,0.558,-1.0,0.85,7.393,7.287,6.798,4.757,4.182,3.961,30.7,30.7,30.7,33.5,33.5,33.5,26.1,26.1,27.5,28.9,28.9,28.9,79.6,79.6,77.6,75.6,75.6,75.6,6.2,6.2,5.1,4.0,4.0,4.0,1198.109,1208.904,1251.164,1356.668,1368.454,1464.993
30,Philippines,Asia Pacific,34.0,36.0,38.0,35.0,35.0,35.0,29.0,34.0,41.0,0.28,0.106,0.042,0.003,0.142,1.0,1.0,1.021,1.021,1.021,1.021,1.111,1.206,0.73,0.738,0.742,0.746,0.75,0.754,3.286,3.3,3.3,3.3,3.25,3.25,0.687,0.692,0.697,0.702,0.704,0.709,3.0,0.73,8.727,9.257,9.706,9.446,10.977,8.392,46.5,46.5,46.5,44.4,44.4,44.4,36.3,35.8,35.3,34.8,34.8,34.8,59.9,58.233,56.567,54.9,54.9,54.9,10.4,8.933,7.467,6.0,6.0,6.0,2694.305,2871.431,2959.648,3001.04,3073.654,3123.234
31,South Korea,Asia Pacific,56.0,55.0,55.0,56.0,53.0,53.0,49.0,47.0,50.0,0.58,0.243,0.048,0.011,0.359,1.0,1.0,11.409,11.409,11.409,11.409,11.498,11.663,0.321,0.305,0.3,0.286,0.272,0.258,3.286,3.3,3.3,3.3,3.25,3.25,0.89,0.893,0.896,0.899,0.901,0.904,0.0,0.33,0.869,0.699,0.745,0.738,0.708,0.589,31.6,31.6,31.6,31.6,31.6,31.6,23.8,23.8,23.8,23.8,23.8,23.8,1.2,1.2,1.2,1.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,25466.761,27182.734,29249.575,28732.231,29288.87,31616.843
32,Sri Lanka,Asia Pacific,40.0,37.0,38.0,37.0,36.0,36.0,41.0,34.0,41.0,0.128,0.07,0.048,0.0,0.124,1.0,1.0,0.93,0.93,0.93,0.93,0.986,1.077,0.815,0.818,0.822,0.825,0.828,0.831,4.0,4.0,4.0,4.0,4.0,4.0,0.762,0.765,0.768,0.772,0.774,0.776,2.0,0.49,3.292,2.996,2.66,2.329,2.521,2.3,39.2,39.2,39.2,39.2,39.8,39.8,32.2,32.375,32.55,32.725,32.9,32.9,52.1,49.5,46.9,44.3,41.7,41.7,2.1,1.8,1.5,1.2,0.9,0.9,3350.522,3610.289,3819.254,3843.781,3886.292,4077.044
33,Thailand,Asia Pacific,37.0,35.0,38.0,38.0,35.0,35.0,37.0,22.0,32.0,0.191,0.176,0.05,0.006,0.391,1.0,1.0,3.613,3.613,3.613,3.613,3.545,3.538,0.727,0.715,0.713,0.712,0.711,0.71,3.286,3.3,3.3,3.3,3.25,3.25,0.724,0.731,0.738,0.746,0.753,0.762,12.0,0.74,4.899,4.247,3.871,3.474,3.232,2.582,39.3,37.8,37.0,36.0,36.9,36.5,30.4,29.2,28.7,28.4,28.9,28.4,13.5,11.3,10.4,7.0,8.2,7.6,0.1,0.0,0.0,0.0,0.0,0.0,5860.583,6168.263,5951.884,5840.047,5994.231,6592.915
