,Country,gdp,population,urban_pop_waste_coverage,%_total_waste_covered,total_pop_waste_coverage,open_dump_%_waste,recycling_%_waste,hazardous_waste_norm,construction_waste_norm,industrial_waste_norm,agricultural_waste_norm,e_waste_norm,national_agency_solid_waste_management,solid_waste_information_publicly_available,information_system_solid_waste_management,national_law_solid_waste_management,plastic_%_waste,total_municipal_solid_waste_norm
37,Côte d’Ivoire,36796468786.8278,20401331.0,,,,,0.03,,,,,0.0010783610147788887,Yes,,,Yes,,0.21767277193826223
38,Cameroon,35051979601.3947,21655715.0,,,0.616,0.8029999999999999,0.004,0.0004025080677317743,,,,0.0008773665519702305,,,,Yes,0.033,0.15102787370447016
39,"Congo, Dem. Rep.",32089998961.1136,78736153.0,,,,,0.049,,,,,,,,,Yes,,0.18270166209415895
40,"Congo, Rep.",14205686707.8991,2648507.0,,,,,0.262,,,,,,No,,No,Yes,,0.170360131198445
41,Colombia,366456704285.594,46406646.0,,,0.8059999999999999,0.04,0.172,0.0058212847358113315,,,,0.005434566419646013,,,Yes,No,0.1283,0.26181853349194856
42,Comoros,611370805.212453,777424.0,,,,,,,,,,0.0007717796209018502,,,,Yes,0.05,0.11706996439523348
43,Cabo Verde,1860165514.9836,513979.0,,,0.706,,,0.006904795721225964,,,,0.004669451475643947,Yes,,Yes,Yes,,0.2578996418141597
44,Costa Rica,46551438317.2602,4757575.0,,,0.904,0.091,0.0126,,0.1681528930179766,,,0.007524841962554453,,,,Yes,0.11,0.3068790297578073
45,Cuba,,11303687.0,1.0,,0.769,0.4222999999999999,0.0949,0.05000279997137217,,,,,No,Yes,No,No,0.096,0.23821360057121185
46,Curacao,,153822.0,,,,,0.02,,,,,,Yes,,,Yes,,0.16060000000000002
47,Cayman Islands,,59172.0,,,,,0.21,,,,,,Yes,,,Yes,0.11,1.013993104846887
48,Cyprus,24311614954.7601,1160985.0,,0.9242,,,0.1331,0.14933612406706373,1.186722481341275,,0.09648531204106857,0.01562207952729794,Yes,Yes,Yes,Yes,0.1477,0.4659836259727731
49,Czech Republic,231340463131.439,10546059.0,,1.0,,,0.255,0.11021576875304794,1.2686294472655615,,0.055306347138774775,0.007546041606632393,Yes,,,Yes,0.022000000000000002,0.31642151821832215
50,Germany,3781698549834.74,81686611.0,,0.9754999999999999,,,0.4783,0.26702858317870476,3.371581531274446,,0.18376373822143263,0.030177344485499587,Yes,Yes,,Yes,0.13,0.6249004503320624
51,Djibouti,,746221.0,,,,,,,,,,0.0012060770200785023,,,,,,0.15410615488438958
52,Dominica,506021862.86935306,72400.0,,,0.94,,,0.008660220994475137,,,,,Yes,,Yes,Yes,0.16,0.1819889502762431
53,Denmark,347519725465.965,5683483.0,,1.0,,,0.2727,0.30234875339646483,2.006322531447706,,0.19130540198677465,0.029667371222892723,Yes,Yes,Yes,Yes,0.0161,0.789128778954736
54,Dominican Republic,73664129264.5577,10528394.0,,,,0.7257583140374662,0.08199999999999999,,,,,0.005413931127577483,Yes,,No,No,0.1,0.3859952429591826
55,Algeria,196034821993.495,40606052.0,0.875,,,,0.08,0.008126867394052493,0.2708955798017498,0.06272464015955061,,0.006205971464549176,Yes,Yes,Yes,Yes,0.16899999999999998,0.30484963177410107
56,Ecuador,85056519293.3115,16144368.0,,,,0.2228,0.129,0.012004929520932624,,,,0.004521700694632333,Yes,Yes,Yes,No,0.1144,0.328115113737121
57,"Egypt, Arab Rep.",260816315725.83,87813257.0,0.575,,,0.84,0.125,0.0043273648305745,0.04555120874288947,0.06832681311433421,0.34163406557167103,0.005659737686304017,Yes,,Yes,No,0.13,0.2391438459001697
58,Eritrea,,4474690.0,,,,,,,,,,0.0008492208398794106,,,,,,0.16245982850208618
59,Spain,1464508831011.81,46447697.0,,1.0,,,0.1684,0.06425545705742956,1.122884757881537,,0.1734992372172941,0.025891423637214996,Yes,Yes,No,Yes,0.09,0.4338428232512798
60,Estonia,23808677023.3013,1315407.0,,0.8689,,,0.24739999999999998,7.914144443506839,13.756188008730378,,0.11375414605517532,0.02608470230126493,Yes,Yes,Yes,Yes,0.18600000000000003,0.35958452402944485
61,Ethiopia,52347226230.2332,99873033.0,,0.5,,0.43,,,,,,0.0004906229292145358,Yes,,,Yes,0.023,0.06541091998277453
62,Finland,252692239709.946,5479531.0,,1.0,,,0.2812,0.3647562172747996,15.450774527965988,,0.1969312702127244,0.03886354507347435,Yes,Yes,Yes,Yes,0.014499999999999999,0.49967780089208363
63,Fiji,3771168285.9747796,867086.0,,,,,0.0545,,,,,0.005305125443150968,Yes,,,Yes,0.075,0.21842077256465908
64,France,2806036371233.86,66624068.0,,1.0,,,0.22260000000000002,0.16185449678635655,3.5467844293146435,,0.16967086128694514,0.03330150899821968,Yes,,,Yes,0.09,0.501305324075978
65,Faeroe Islands,,48842.0,,,,,0.67,,,,,,,,,Yes,,1.2489251054420376
66,"Micronesia, Fed. Sts.",296282643.971121,104937.0,0.35,,0.08,,,,,,,0.0019059054480307233,Yes,,,Yes,0.26170000000000004,0.24814479163688688
67,Gabon,18912467101.0138,1086137.0,0.285,,0.23600000000000002,,,,,,,0.01288971833203362,,,,,,0.21921940786475372
68,United Kingdom,2757620259273.38,65128861.0,,0.9743,,,0.2725,0.08836724474576639,2.407591605202492,,0.1591581342102697,0.05503130171430451,Yes,,Yes,Yes,0.20199999999999999,0.4846852764705957
69,Georgia,15189614350.7215,3717100.0,,,0.6,,,,,,,0.005649565521508703,No,,No,Yes,0.03,0.21522154367652202
70,Ghana,48199090351.9329,21542009.0,,,,,,,,,,0.0018104161037162318,Yes,,,Yes,0.04,0.16425
71,Gibraltar,,33623.0,,,,,,1.754603693900009,0.8922463789667787,,,0.0059911370193022635,Yes,Yes,,Yes,0.1586,0.5042381703000922
72,Guinea,9667718426.6828,8132552.0,,,,,0.05,,,,,0.0009837010571835262,,,,Yes,0.04,0.07339774771805947
73,"Gambia, The",1084318240.80394,1311349.0,,,,,,,,,,0.0016776617056176502,Yes,,,Yes,,0.14751263012363605
74,Guinea-Bissau,1062488924.5797,1770526.0,,,,,,,,,,0.0005648039057319689,,,,,,0.16351863796408525
75,Equatorial Guinea,15045964750.1647,1221490.0,,,,,,,,,,,,,,,,0.16245983184471424
76,Greece,244480923173.545,10892413.0,,,,,0.19,0.020293115951442533,5.507080570668776,,0.052809694233958995,0.01730195136743346,Yes,Yes,No,Yes,0.14,0.5028659857095026
77,Grenada,931118693.454099,105481.0,,,,,,,,,,0.007584304282287805,Yes,,Yes,Yes,0.16399999999999998,0.2800135942674773
78,Greenland,2823634003.6628103,56905.0,,,,,,0.012828398207538881,,,,,,,,Yes,0.024,0.8786574114752658
79,Guatemala,51421926687.8027,16252429.0,,,0.777,0.698,,0.0006184306358144988,,,,0.0033841095383342393,,,,No,0.17290808751009343,0.16962024392476963
80,Guam,5214914976.43925,159973.0,1.0,,1.0,,0.17850000000000002,,,,,,Yes,Yes,,Yes,0.124,0.8845242634694604
81,Guyana,2925825405.8611197,746556.0,,,0.89,,0.0054,0.0009936026232459454,,,,0.006697421224931552,Yes,No,No,No,0.142,0.24010456014016363
82,"Hong Kong SAR, China",270105365069.12302,7305700.0,,,1.0,,0.34,0.00750263492889114,0.20983615533076913,,,0.009581559604144708,Yes,Yes,Yes,Yes,0.21,0.77745
83,Honduras,19545909275.2757,9112867.0,,,0.6459999999999999,0.15,,2.777830511517396e-05,,,,0.0001865494141415649,,,No,Yes,0.1441,0.23725
84,Croatia,61095271083.0161,4203604.0,,0.9776,,,0.1632,0.031003396133413137,0.19158655287224963,,0.09412494611766474,0.013816239588695794,Yes,,Yes,Yes,0.22899999999999998,0.39347188745657297
85,Haiti,7911616492.26845,10847334.0,0.23800000000000002,,,,,,,,,0.0005531313039683299,No,No,No,No,0.127,0.21294195005427138
86,Hungary,147182870839.849,9843028.0,,0.9994,,,0.2594,0.0606067563761883,0.7726561379282879,,0.07103891200959704,0.0050864429116731155,Yes,Yes,Yes,Yes,0.13,0.377119723727292
87,Indonesia,1037863871681.45,261115456.0,,,0.45,0.1,0.07,0.08808364067119795,,,0.4672262679080935,0.004879067748482878,Yes,,,Yes,0.14,0.249697972685309
88,Isle of Man,,80759.0,,0.96,,,0.5,,1.5226166743025544,0.6040565138250845,,,Yes,Yes,Yes,Yes,,0.625948810658874
89,India,2466177043270.51,1071477855.0,,,,0.77,0.05,0.0069688794454832665,0.02566548610563678,,,0.0015865936865302737,Yes,Yes,No,Yes,,0.15716912782112513
90,Ireland,332361374827.62604,4586897.0,,0.9204000000000001,,,0.33,0.10527966945845961,1.7219436146048188,,0.12084095195510167,0.04640915198226601,Yes,Yes,,Yes,0.124,0.5870062048482885
91,"Iran, Islamic Rep.",540581175875.242,80277428.0,1.0,,1.0,0.72,0.05,0.09965441344234396,0.9965441344234397,0.3737040504087899,0.1999192101670223,0.007847785058584588,Yes,No,No,Yes,0.085,0.22278989805204022
92,Iraq,213937533186.719,36115649.0,,,0.76,1.0,,0.0005709990148591819,,,,0.006119231029186268,No,,No,No,0.0529,0.3638312023688125
93,Iceland,16434890343.1097,330815.0,,,1.0,,0.5581,0.02115986276317579,0.003022837537596542,0.03022837537596542,0.01511418768798271,0.02297356528573372,Yes,Yes,,Yes,0.09,1.5869897072381844
94,Israel,287807589783.365,8380100.0,,,,,0.25,0.03830503215952077,0.8353122277777115,,,0.014319638190475053,Yes,Yes,,Yes,0.18,0.6443837185713774
95,Italy,2080644597198.96,60730582.0,,0.8892,,,0.259,0.1469366455272897,1.0198927123734793,,0.11397198531705163,0.04610570009027742,Yes,,Yes,Yes,0.11599999999999999,0.48614716058541974
96,Jamaica,13801803129.785,2881355.0,,,0.76,,,0.003470589358131851,,,,0.005900001908824147,Yes,Yes,Yes,Yes,0.122,0.365
97,Jordan,30811666897.1124,8413464.0,0.9,,,0.45,0.07,0.14624665892669178,,0.005348569863732703,0.4754284323317958,0.005110855647566805,No,,,Yes,0.16,0.3007081268785366
98,Japan,6052671805314.15,127141000.0,,,0.9990000000000001,,0.049,0.028315020331757656,0.57172745219874,3.089797940868799,0.27614223578546654,0.004081909061593034,No,,Yes,Yes,0.11,0.34592303033639815
99,Kazakhstan,188309161360.735,16791425.0,,,0.77,0.601,0.0292,,,,,0.00875446842659274,Yes,No,No,Yes,0.25,0.27750712044987247
100,Kenya,55409230681.8492,41350152.0,,0.4,0.4,,0.08,,,,,0.00041958733307679257,,,,Yes,0.187,0.13531024021386912
101,Kyrgyz Republic,6346700787.57926,5956900.0,,,,1.0,,0.8009780254830533,0.0006043411841729759,,0.0030049186657489634,0.0012086823683459518,Yes,,No,Yes,,0.1868925112054928
102,Cambodia,17009386901.7797,15270790.0,0.5,,,,,,,,,0.00091678295621903,Yes,,No,Yes,0.086,0.07131261709446597
103,Kiribati,192869131.339286,114395.0,1.0,,0.54,,,,,0.00670046767778312,,0.0008741640805979283,Yes,,,Yes,0.165,0.31228486821976487
104,St. Kitts and Nevis,858344680.019234,54288.0,,,0.95,,,,,,,0.012894193928676688,Yes,Yes,Yes,Yes,0.23199999999999998,0.6058823312702623
105,"Korea, Rep.",1305947523530.33,50746659.0,,0.9990000000000001,0.9992,,0.58,,1.3423464981211866,0.7844851421647285,,0.011244779680963825,Yes,,Yes,Yes,0.243,0.3590182163519376
106,Kuwait,142857292393.58,2998083.0,,,1.0,1.0,,0.06770993331405435,0.38324489348693813,0.002334825286691529,,0.022347613458333207,Yes,,No,Yes,0.2,0.5837063216728823
107,Lao PDR,11102149874.6903,6663967.0,,0.55,,0.6,0.1,0.0007803159889597293,,0.007428007971828192,,0.0011254557533073018,Yes,,None,Yes,0.061,0.0528063839451786
108,Lebanon,42911390491.6894,5603279.0,1.0,,,0.29,0.08,0.008209478771269466,,,,0.009101813420320494,Yes,No,No,No,0.115,0.36407253681281976
109,Liberia,1627046587.60903,3512932.0,,,,,,,,,,,Yes,,,Yes,,0.16068250111303037
110,Libya,36808842590.9579,6193501.0,,,,,,,0.5878985084526506,,,0.011302169806705448,Yes,,No,No,0.075,0.34675
111,St. Lucia,1489854701.38327,177206.0,,,1.0,,,0.015417085200275385,,,,0.009029039648770358,Yes,Yes,Yes,Yes,0.22,0.438
112,Liechtenstein,,36545.0,,,1.0,,0.6459999999999999,0.03294568340402244,14.057408674237243,,0.07147352579012177,0.008017512655630046,Yes,,,Yes,0.054000000000000006,0.8860856478314407
113,Sri Lanka,79907042295.2414,21203000.0,,,,0.85,0.12789999999999999,,0.0030986181200773474,0.002499646276470311,,3.4193274536622175e-06,Yes,Yes,Yes,Yes,0.07,0.12411687025420931
114,Lesotho,2980616573.3773103,1965662.0,,,0.2,,,,,,,0.0009157220315598511,,,,,,0.03737010737349555
115,Lithuania,45735444769.2075,2904910.0,0.96,0.9869,,,0.22920000000000001,0.05696458754315969,1.0367240293158824,,0.1896919353783766,0.028465942146228284,Yes,,No,Yes,0.1015,0.44751816751637746
116,Luxembourg,63207264513.4942,569604.0,,1.0,,,0.2837,0.41639454779109697,11.012340152105674,,0.16753218025154318,0.012987970590094171,Yes,,Yes,Yes,0.18,0.6249956109858779
117,Latvia,28871503534.3929,1977527.0,,0.8436,,,0.21230000000000002,0.05266274493344465,0.3395265905345414,,0.053339347579072244,0.01267795585091885,Yes,Yes,,Yes,0.077,0.43336955702753993
118,"Macao SAR, China",31920853731.7088,612167.0,,,1.0,,0.2,0.005093381381224405,0.08494414105954748,,,0.017968952916442734,Yes,Yes,Yes,Yes,0.079,0.6173838184678364
119,St. Martin (French part),,30959.0,,,,,,,,,,,,Yes,,Yes,,0.5
120,Morocco,114783961362.676,34318082.0,0.85,,,0.52,0.08,0.00843243512268547,0.2039741032147426,0.04661421987394284,,0.0008829164753438144,No,Yes,No,Yes,0.08,0.19966150788963088
121,Monaco,,37783.0,,,1.0,,0.054000000000000006,0.008259534711378132,,,,,Yes,Yes,Yes,Yes,0.01,1.217478760289019
122,Moldova,7354798041.3823,3554108.0,,,,0.3508,0.1532,0.00011761038212682338,0.39391037075969554,0.7995536432770192,,0.0017725966684186299,Yes,Yes,No,Yes,0.1,1.120168548620357
123,Madagascar,10356200860.8807,24894551.0,,,0.177,0.9670000000000001,,0.0018460666352247124,,,,0.0005623720628662875,,,,Yes,,0.15138891880395836
124,Maldives,3600398617.5534897,409163.0,,,0.382,,,0.036918110875128,0.015058057546747872,,,0.0073416951190601295,Yes,Yes,No,Yes,0.03,0.5169230355628441
125,Mexico,1259036981370.62,125890949.0,,0.934,,0.21,0.05,0.0001443510446489684,0.047660296849458175,,,0.007608966392015998,,,Yes,Yes,0.109,0.42179362711770485
126,Marshall Islands,179041793.905222,52793.0,0.66,,0.49,,0.308,,,,,,Yes,,,Yes,0.13,0.16316557119315062
127,"Macedonia, FYR",10924716121.9693,2081206.0,,0.7661,0.73,,0.0018,0.019602576583000433,0.05840411761257656,,0.04417294587849545,0.0005861985790930835,Yes,,Yes,Yes,0.139,0.3827516353498885
128,Mali,13421822110.6944,16006670.0,,,,,,,,,,0.000749687474034262,,,,,0.02,0.1210341963693885
129,Malta,11868476821.1921,431874.0,,0.9665,,,0.0669,0.08456864733695477,2.9138730277812512,0.24598609779704267,0.03845334518864298,0.017697291339603682,Yes,,Yes,Yes,0.12,0.6228668546844681
130,Myanmar,74469832820.4068,46095462.0,,,0.6,,,,,0.0011877524950286863,,0.0011931760224032466,Yes,,,Yes,,0.10147
131,Montenegro,4662831375.96385,622159.0,,0.9699,0.759,0.9157,0.0542,0.006138639801079788,0.14823863353258573,0.7293819104119686,,0.00996529825976961,Yes,,Yes,Yes,0.18420000000000003,0.5336256487489532
132,Mongolia,11825367386.7456,3027398.0,,,,0.935,,,0.04171899433110546,0.02688777623556599,,0.004624433259188253,,,,Yes,0.145,0.9579183179747096
133,Northern Mariana Islands,1051785359.8014901,54036.0,,,,,0.36,,,,,,Yes,Yes,,Yes,0.165,0.6062886686653342
134,Mozambique,14846071334.9796,27212382.0,,0.525,,0.99,0.01,,,,,0.0006247156165895363,Yes,,,Yes,,0.09186994361610828
135,Mauritania,5574151156.75208,3506288.0,0.3,,,0.547,0.08,,,,,0.001454529690658611,,,,Yes,0.2,0.1294816626586293
136,Mauritius,12409842083.119,1263473.0,,0.8373150684931506,0.98,,,0.013454976877226502,,,,0.008706161508793619,,,,Yes,0.124,0.34666352189560046
137,Malawi,8710223821.78252,16577147.0,,,,,,,,,,0.0005730781056595565,,,,,,0.07829118484622233
138,Malaysia,344052342367.514,30228017.0,,0.95,,,0.175,0.09654877460205213,,0.027518675803311875,1.389439472658759,0.00926292981772506,Yes,Yes,No,Yes,0.15,0.4294917857165424
139,Namibia,14950179756.803001,1559983.0,,,,,0.045,,,,,0.008974456772926371,,,,,,0.1645716652040439
140,New Caledonia,,278000.0,1.0,,0.67,,,,,,,,,,,Yes,0.165,0.38905533812949644
141,Niger,8106889865.37629,8842415.0,,,,0.64,0.04,0.06265256720025016,,,,0.0008934210846245059,,,,Yes,0.02,0.21098825038182442
142,Nigeria,456775408619.54297,154402181.0,,,,,,,,,,0.001794016109137733,,,,Yes,0.048,0.17885
143,Nicaragua,11955466051.3827,5737723.0,,,0.9229999999999999,0.593,,0.0004944470132141269,,,,0.0018822797824154286,,,,Yes,,0.26644999999999996
144,Netherlands,890135883868.605,16939923.0,,1.0,,,0.24609999999999999,0.28515448387811443,5.6792743390864295,,0.8688728986548522,0.03154736889890231,Yes,,Yes,Yes,0.14,0.5227296487711308
145,Norway,472765907756.79,5188607.0,,,0.99,,0.2616,0.2856257951315257,0.5840583031245188,0.07998293183507635,0.07705440015017519,0.028909493434364945,Yes,Yes,Yes,Yes,0.0225,0.4215004142730409
146,Nepal,19856634052.5358,28982771.0,,0.623,,,,0.00017427595173698194,,,,0.0007935749138686567,Yes,,,Yes,0.1514,0.06103548518531924
147,Nauru,125930267.74120902,13049.0,1.0,,1.0,,,,,,,,Yes,,,Yes,0.165,0.47450000000000003
148,New Zealand,176128560656.594,4692700.0,,,0.97,,,,0.6392908133910116,0.37291964114475673,2.8242632173375668e-05,0.020244209090715365,Yes,Yes,Yes,Yes,0.08,0.7255950731987981
149,Oman,75054356306.8921,3960925.0,,,,0.9998999999999999,,0.37108377462335185,0.1856488067812443,,,0.01489551051837639,Yes,,No,Yes,0.21,0.438
150,Pakistan,227866886765.975,193203476.0,,,,0.5,0.08,0.0079605193024581,,,0.4250441125603765,0.0015579429844212534,Yes,,No,No,0.09,0.15921038604916196
151,Panama,44789036003.0978,3969249.0,,,0.8490000000000001,0.23399999999999999,,,,,,0.0008061978475021346,,,,Yes,0.12,0.3709170715039544
152,Peru,193653231881.727,30973354.0,,,0.8293,0.5639,0.04,0.021314455621112262,,,,0.005876018464128877,Yes,Yes,Yes,Yes,0.1052,0.2698032357102818
153,Philippines,284348525311.117,103320222.0,,,,,0.28,0.04193005237638766,,,,0.002806807751535803,Yes,Yes,Yes,Yes,0.10550000000000001,0.1416172228123939
154,Palau,225308048.628884,21503.0,1.0,,0.77,,,,,,,0.009301027763567874,None,Yes,None,Yes,0.32,0.43839210807794265
155,Papua New Guinea,19389192290.7468,7755785.0,,0.6,,,0.02,,,,,0.0009025520949845825,Yes,None,None,Yes,0.1,0.12893601356922607
156,Poland,572132126156.6011,37986412.0,,1.0,,,0.2639,0.04420135810668299,3.5587520084813486,,0.12319231413590734,0.0059087444215578985,Yes,,,Yes,0.1213,0.2859706781467015
157,Puerto Rico,93028633825.9765,3473181.0,,,,,0.14,1.4165688456777806e-06,,,,0.00027249947526489406,Yes,Yes,,Yes,0.10400000000000001,1.2009028610947716
158,Portugal,231745178666.337,10401062.0,,1.0,,,0.1623,0.06741888472542515,0.26374412535950653,,0.01760051040941781,0.01635198405701264,Yes,,Yes,Yes,0.1072,0.4528383736199246
159,Paraguay,26400622642.9371,6639119.0,,,0.466,0.23399999999999999,,,,,,0.005151285885973726,,,,Yes,,0.2739070296525789
160,West Bank and Gaza,11767216976.1681,4046901.0,,0.922,0.915,0.67,0.005,0.015473815643130386,,0.03245545171478126,0.10872517019813432,,Yes,Yes,Yes,Yes,0.142,0.3427313887836643
161,French Polynesia,,273528.0,1.0,,0.51,,0.39,,,,,,Yes,Yes,,No,0.02,0.5374221286303413
162,Qatar,170662627613.433,2109568.0,1.0,,1.0,,0.03,0.04977322371215339,4.601361510982343,0.030337964929312542,,0.013746890358594745,Yes,No,Yes,Yes,0.14,0.4745
163,Romania,200217212681.665,19815481.0,,0.8745,,,0.0567,0.029789839570384388,8.225651045261026,,0.05369357423117814,0.006674983059962057,Yes,Yes,Yes,Yes,0.1233,0.2470290779214494
164,Russian Federation,1654433869549.64,143201676.0,,,,0.95,0.045,0.7681474342520963,,,,0.009720556622535619,Yes,,Yes,Yes,0.1421,0.41898950959205256
165,Rwanda,8805014648.57369,11917508.0,,,,,,,,,,0.0004950699424745509,,,,,,0.36794344925130323
166,Saudi Arabia,690068800000.0,31557144.0,1.0,,1.0,,0.15,0.02208691635719633,,,,0.016097781218731327,Yes,,Yes,yes,0.11,0.511
167,Sudan,76149479952.5075,38647803.0,,,,,,,,,,0.0013196092931854367,,,,,0.127,0.07325878265318213
168,Senegal,16833353304.076,15411614.0,0.4,,0.214,0.43799999999999994,,,,,,0.0009732919602061146,No,,No,Yes,0.09,0.15923440919296317
169,Singapore,299170077007.701,5607283.0,,,1.0,,0.61,0.07969456865294654,0.28700174398188927,,,0.0178339491693214,Yes,Yes,Yes,Yes,0.1058,1.3739809458520285
