,Country,gdp,population,urban_pop_waste_coverage,%_total_waste_covered,total_pop_waste_coverage,open_dump_%_waste,recycling_%_waste,hazardous_waste_norm,construction_waste_norm,industrial_waste_norm,agricultural_waste_norm,e_waste_norm,national_agency_solid_waste_management,solid_waste_information_publicly_available,information_system_solid_waste_management,national_law_solid_waste_management,plastic_%_waste,total_municipal_solid_waste_norm
170,Solomon Islands,900859048.9294679,563513.0,0.6,,0.12,,,,,,,0.0007098327811425823,Yes,Yes,No,Yes,0.2235,0.319375
171,Sierra Leone,3355384560.27101,5439695.0,,,,,,,,,,0.0006250350433250393,,,,,,0.11217946778266061
172,El Salvador,21588556541.6367,6164626.0,,,0.7879999999999999,0.138,,0.0026708838459948746,,,,0.004882696857846688,Yes,,,Yes,0.1,0.2674933045411027
173,San Marino,1746352442.0529802,33203.0,,,,,0.45049999999999996,,,,,,,,,,0.055999999999999994,0.5172628979309098
174,Somalia,,14317996.0,,,,,,,,,,,,,,,,0.1624598281770717
175,Serbia,41308012849.7895,7095383.0,,0.7467,0.7,,0.0076,1.8991259527498374,6.5828508482205965,,0.028110251412784906,0.0020277975128333453,Yes,,Yes,Yes,0.1273,0.2593235629422682
176,South Sudan,,11177490.0,,,,,,,,,,,,,,,,0.2398285303766767
177,São Tomé and Príncipe,256822056.30447003,191266.0,,,0.484,,,,,,,0.0010456641535871508,,,,,,0.1337744293287882
178,Suriname,4527379878.73403,526103.0,0.7,0.48700000000000004,0.795,0.63,,,,,,0.00950384240348373,No,No,No,No,0.11,0.14943803618302878
179,Slovak Republic,104679102604.032,5423801.0,,0.9434,,,0.0762,0.06926655310546977,0.7418061613986207,,0.1696848759753538,0.005699139773011583,Yes,,Yes,Yes,0.11,0.32892062227209296
180,Slovenia,50511749001.8176,2063531.0,,0.9384,,,0.4644,0.07522494210166943,1.0040033321525095,,0.14042580411924996,0.012773735892506582,Yes,,,Yes,,0.4487453786737393
181,Sweden,560386605247.826,9799186.0,,1.0,,,0.3237,0.26207829915668507,15.512752998055145,,0.22503767149638756,0.07364601508737563,Yes,,Yes,Yes,0.0658,0.4466697539979341
182,Eswatini,5246492515.70071,1343098.0,,,,,,,,,,0.004243919654410922,,,,,,0.16245982795000813
183,Sint Maarten (Dutch part),,37685.0,,,,,,,,,,,Yes,Yes,,Yes,0.13,
184,Seychelles,1287449682.77196,88303.0,,,,,,,,,,0.012457107912528452,Yes,yes,,Yes,0.099,0.5435828907285143
185,Syrian Arab Republic,,20824893.0,0.95,,0.74,0.8,0.025,0.003265322899858357,,,,,Yes,,,Yes,0.07,0.21608754484356774
186,Turks and Caicos Islands,,34900.0,,,,,,,,,,,,,,Yes,0.163,
187,Chad,12642608725.1014,11887202.0,,,,,,,,,,0.0007402919543219674,,,,,0.06,0.1143120584642206
188,Togo,4264876064.3291397,7228915.0,,,,0.9620000000000001,0.02,0.0002628333574263911,,,,0.0008853334144888963,Yes,,,Yes,0.1,0.1534158929797902
189,Thailand,407014670809.508,68657600.0,,,,0.535,0.191,0.0501765281629419,0.016021532940271727,0.5447321199692386,1.19768241243504,0.005596365151126751,Yes,,,Yes,0.1759,0.39112007993288433
190,Tajikistan,8458800787.507179,8177809.0,,,0.3825,1.0,,,,,,,Yes,,No,Yes,,0.2185671003076741
191,Turkmenistan,39563379205.5788,5366277.0,,,,,,0.0001863489342797623,,0.006019070577236323,,0.004099676554154771,Yes,,No,Yes,0.0219,0.09317446713988115
192,Timor-Leste,3765074846.6697702,1268671.0,,,,,,,,,,0.0028376151106157548,Yes,,,Yes,0.165,0.05034796255293926
193,Tonga,406237705.331704,104951.0,,,0.71,,,,,,,0.002858476812988919,Yes,,,Yes,0.134,0.16425
194,Trinidad and Tobago,21519942194.5088,1328100.0,,,0.9431,0.84,,0.0933017845041789,,,,5.3512536706573294e-05,Yes,Yes,Yes,Yes,0.1917,0.548056622242301
195,Tunisia,48682059522.1461,11143908.0,0.8,,0.65,0.21,0.04,0.013460269054626078,,0.010409274735577501,0.3619017673153799,0.008076161432775647,Yes,Yes,Yes,Yes,0.11,0.2422848429832694
196,Turkey,1122511654795.59,78271472.0,,0.8812000000000001,,0.44,,0.043852835679390315,,,,0.007959477240954405,Yes,,,Yes,0.03,0.39967307629017124
197,Tuvalu,39216157.2756995,11097.0,1.0,,0.47,0.145,0.15,,,,,0.0009011444534558889,Yes,,None,Yes,0.165,0.35951036316121476
198,,,23434000.0,,,,,,,,,,0.000598958777844158,,,,Yes,0.2023,0.3130494153793633
199,Tanzania,46775259595.7984,49082997.0,,,,0.69,,,,,,0.0007741988534237222,,,,Yes,,0.18900628663730537
200,Uganda,27483055271.6416,35093648.0,,0.375,,0.87,0.06,,,,,0.0007123796306385703,,,,,0.076,0.20075
201,Ukraine,124000201623.066,45004645.0,,,0.7585999999999999,,0.032,9.95452802705143,0.03110790008453572,0.01304309810687319,0.19109138623357655,0.00615492023101171,Yes,,Yes,Yes,0.07,0.33867670770428254
202,Uruguay,48362932954.0502,3431552.0,1.0,,0.98,0.175,0.08,,,,,0.010782293259726211,Yes,,No,Yes,0.11,0.36722145217382696
203,United States,16920327941800.0,318563456.0,,,1.0,,0.34600000000000003,0.09040584994155763,1.676275134333048,23.857099290133267,,0.007659384508937522,Yes,Yes,Yes,Yes,0.129,0.8098857390597872
204,Uzbekistan,62469088151.5761,29774500.0,,,,0.6,,,,,,,Yes,,No,Yes,0.025,0.134343145980621
205,St. Vincent and the Grenadines,729264939.5984321,109455.0,,,,,,,,,,0.008222557215293956,Yes,Yes,Yes,Yes,0.084,0.28835
206,"Venezuela, RB",,29893080.0,,,1.0,,,0.0041199167165109785,,,,0.007784410304993664,No,,,Yes,,0.3271356829072147
207,British Virgin Islands,,20645.0,,,0.972,,,,,,,,Yes,Yes,Yes,Yes,0.063,1.022
208,Virgin Islands (U.S.),,105784.0,,,,,,,,,,,Yes,,,Yes,0.13,1.3848975270362247
209,Vietnam,164104855205.203,86932500.0,0.84,,0.72,,0.23,0.03445378310758347,,0.11043050642740057,,0.001621948063152446,Yes,,No,Yes,0.1215,0.11008886204814079
210,Vanuatu,777052317.457476,270402.0,0.5,,0.12,0.113,0.37,,,,,0.0011094592495617635,Yes,,,Yes,0.0645,0.25970772775349293
211,Samoa,738041747.031935,187665.0,1.0,,1.0,,0.36,,,,,0.0026643220632510058,Yes,MNRE publishes monthly environmental newsletters informing the public about solid waste activities and projects.,,Yes,0.13,0.146
212,Kosovo,7129271791.568541,1801800.0,1.0,,0.39,0.3357,,0.0002747252747252747,0.12056887556887556,,0.0021534021534021534,1.2765012765012765e-05,Yes,,Yes,Yes,0.11,0.17704517704517705
213,"Yemen, Rep.",11927030389.4484,27584213.0,,,0.2,0.25,0.08,0.0007613050261756607,,,,0.0015226100523513214,Yes,,No,Yes,0.1,0.17534739889080758
214,South Africa,421208662669.69,51729345.36,,,,,0.28,0.025499955408675987,,,,0.006205375261682995,Yes,,Yes,Yes,0.07090104301663433,0.3568038967350272
215,Zambia,27037168289.1747,14264756.0,,,0.2,,,0.005608227718721582,,,,0.0010515426972602967,,,,Yes,,0.18284701119318128
216,Zimbabwe,14818986230.9668,12500525.0,,,,,0.16,0.002987554522710046,,,,0.001039956321834483,,,,Yes,0.23,0.1159752890378604
