,Country,Region,CPI_2016,CPI_2015,CPI_2014,CPI_2013,CPI_2012,CPI_2017
98,Kosovo,Europe and Central Asia,36,33.0,33.0,33.0,34.0,36
99,Benin,Sub-Saharan Africa,36,37.0,39.0,36.0,36.0,36
100,Peru,Americas,35,36.0,38.0,38.0,38.0,35
101,Trinidad and Tobago,Americas,35,39.0,38.0,38.0,39.0,35
102,Philippines,Asia Pacific,35,35.0,38.0,36.0,34.0,35
103,Thailand,Asia Pacific,35,38.0,38.0,35.0,37.0,35
104,Timor-Leste,Asia Pacific,35,28.0,28.0,30.0,33.0,35
105,Gabon,Sub-Saharan Africa,35,34.0,37.0,34.0,35.0,35
106,Niger,Sub-Saharan Africa,35,34.0,35.0,34.0,33.0,35
107,Guyana,Americas,34,29.0,30.0,27.0,28.0,34
108,Algeria,Middle East and North Africa,34,36.0,36.0,36.0,34.0,34
109,Egypt,Middle East and North Africa,34,36.0,37.0,32.0,32.0,34
110,Côte d’Ivoire,Sub-Saharan Africa,34,32.0,32.0,27.0,29.0,34
111,Ethiopia,Sub-Saharan Africa,34,33.0,33.0,33.0,33.0,34
112,Bolivia,Americas,33,34.0,35.0,34.0,34.0,33
113,Vietnam,Asia Pacific,33,31.0,31.0,31.0,31.0,33
114,Armenia,Europe and Central Asia,33,35.0,37.0,36.0,34.0,33
115,Pakistan,Asia Pacific,32,30.0,29.0,28.0,27.0,32
116,Mali,Sub-Saharan Africa,32,35.0,32.0,28.0,34.0,32
117,Tanzania,Sub-Saharan Africa,32,30.0,31.0,33.0,35.0,32
118,Togo,Sub-Saharan Africa,32,32.0,29.0,29.0,30.0,32
119,Dominican Republic,Americas,31,33.0,32.0,29.0,32.0,31
120,Ecuador,Americas,31,32.0,33.0,35.0,32.0,31
121,Malawi,Sub-Saharan Africa,31,31.0,33.0,37.0,37.0,31
122,Honduras,Americas,30,31.0,29.0,26.0,28.0,30
123,Mexico,Americas,30,35.0,35.0,34.0,34.0,30
124,Paraguay,Americas,30,27.0,24.0,24.0,25.0,30
125,Laos,Asia Pacific,30,25.0,25.0,26.0,21.0,30
126,Azerbaijan,Europe and Central Asia,30,29.0,29.0,28.0,27.0,30
127,Moldova,Europe and Central Asia,30,33.0,35.0,35.0,36.0,30
128,Djibouti,Sub-Saharan Africa,30,34.0,34.0,36.0,36.0,30
129,Sierra Leone,Sub-Saharan Africa,30,29.0,31.0,30.0,31.0,30
130,Nepal,Asia Pacific,29,27.0,29.0,31.0,27.0,29
131,Kazakhstan,Europe and Central Asia,29,28.0,29.0,26.0,28.0,29
132,Russia,Europe and Central Asia,29,29.0,27.0,28.0,28.0,29
133,Ukraine,Europe and Central Asia,29,27.0,26.0,25.0,26.0,29
134,Iran,Middle East and North Africa,29,27.0,27.0,25.0,28.0,29
135,Guatemala,Americas,28,28.0,32.0,29.0,33.0,28
136,Myanmar,Asia Pacific,28,22.0,21.0,21.0,15.0,28
137,Papua New Guinea,Asia Pacific,28,25.0,25.0,25.0,25.0,28
138,Kyrgyzstan,Europe and Central Asia,28,28.0,27.0,24.0,24.0,28
139,Lebanon,Middle East and North Africa,28,28.0,27.0,28.0,30.0,28
140,Nigeria,Sub-Saharan Africa,28,26.0,27.0,25.0,27.0,28
141,Guinea,Sub-Saharan Africa,27,25.0,25.0,24.0,24.0,27
142,Mauritania,Sub-Saharan Africa,27,31.0,30.0,30.0,31.0,27
143,Mozambique,Sub-Saharan Africa,27,31.0,31.0,30.0,31.0,27
144,Nicaragua,Americas,26,27.0,28.0,28.0,29.0,26
145,Bangladesh,Asia Pacific,26,25.0,25.0,27.0,26.0,26
146,Cameroon,Sub-Saharan Africa,26,27.0,27.0,25.0,26.0,26
147,Gambia,Sub-Saharan Africa,26,28.0,29.0,28.0,34.0,26
148,Kenya,Sub-Saharan Africa,26,25.0,25.0,27.0,27.0,26
149,Madagascar,Sub-Saharan Africa,26,28.0,28.0,28.0,32.0,26
150,Tajikistan,Europe and Central Asia,25,26.0,23.0,22.0,22.0,25
151,Uganda,Sub-Saharan Africa,25,25.0,26.0,26.0,29.0,25
152,Comoros,Sub-Saharan Africa,24,26.0,26.0,28.0,28.0,24
153,Turkmenistan,Europe and Central Asia,22,18.0,17.0,17.0,17.0,22
154,Zimbabwe,Sub-Saharan Africa,22,21.0,21.0,21.0,20.0,22
155,Cambodia,Asia Pacific,21,21.0,21.0,20.0,22.0,21
156,Uzbekistan,Europe and Central Asia,21,19.0,18.0,17.0,17.0,21
157,The Democratic Republic of Congo,Sub-Saharan Africa,21,22.0,22.0,22.0,21.0,21
158,Haiti,Americas,20,17.0,19.0,19.0,19.0,20
159,Burundi,Sub-Saharan Africa,20,21.0,20.0,21.0,19.0,20
160,Central African Republic,Sub-Saharan Africa,20,24.0,24.0,25.0,26.0,20
161,Chad,Sub-Saharan Africa,20,22.0,22.0,19.0,19.0,20
162,Republic of Congo,Sub-Saharan Africa,20,23.0,23.0,22.0,26.0,20
163,Angola,Sub-Saharan Africa,18,15.0,19.0,23.0,22.0,18
164,Eritrea,Sub-Saharan Africa,18,18.0,18.0,20.0,25.0,18
165,Venezuela,Americas,17,17.0,19.0,20.0,19.0,17
166,Iraq,Middle East and North Africa,17,16.0,16.0,16.0,18.0,17
167,Guinea-Bissau,Sub-Saharan Africa,16,17.0,19.0,19.0,25.0,16
168,Afghanistan,Asia Pacific,15,11.0,12.0,8.0,8.0,15
169,Libya,Middle East and North Africa,14,16.0,18.0,15.0,21.0,14
170,Yemen,Middle East and North Africa,14,18.0,19.0,18.0,23.0,14
171,Sudan,Sub-Saharan Africa,14,12.0,11.0,11.0,13.0,14
172,Syria,Middle East and North Africa,13,18.0,20.0,17.0,26.0,13
173,Korea (North),Asia Pacific,12,8.0,8.0,8.0,8.0,12
175,Somalia,Sub-Saharan Africa,10,8.0,8.0,8.0,8.0,10
