,Country,homicide_rate_2012,homicide_rate_2013,homicide_rate_2014,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
95,Lebanon,3.5033100863,3.9911950179000004,3.8332253108999996,3.5360673512000003,3.5000024574,3.6073697685000004
96,Lesotho,31.811603841,32.437314151,,43.56460456,,
97,Liberia,3.2642899734,,,,,
98,Liechtenstein,0.0,0.0,2.6867997528,0.0,0.0,2.6451527576
99,Lithuania,6.6326039767,6.5803948104,5.3508365141,5.8665589766999995,5.2949329568,4.5336029597000005
100,Luxembourg,0.0,0.18431345083,0.72135499322,0.88223721241,0.86316131104,0.33788692276
101,Malawi,1.8121578253,,,,,
102,Malaysia,2.0709924516,2.1276651339,,,,
103,Maldives,2.5174268876,0.7218618260199999,,,,
104,Malta,2.8448895116000004,1.6426372306,1.39473256,0.92259646323,1.1465286552,2.0550995011
105,Mauritius,2.2337651147999997,2.7878272312,1.5111134441,1.6673852303,1.6641967872999999,2.6097333564
106,Mexico,22.142133344,19.408862745,16.625796371,17.037828649,19.91269533,25.708997803000003
107,Monaco,0.0,0.0,,0.0,,
108,Mongolia,7.0450009169,7.1136515137,7.2446244376,7.1370612583,6.0202371581,6.1340078387
109,Montenegro,2.7159543145,1.5965718409,3.191574244,2.7115097207999996,4.4637804075,2.3901982749
110,Montserrat,20.283975659,,,,,
111,Morocco,1.1521604452,1.2724040621,1.0382436918,1.243378935,1.6910418680000001,2.1387664859999997
112,Myanmar,2.7930297104000004,2.3875432419,2.3526794226,2.1867581015,2.2584513256,
113,Namibia,17.678333607,,,,,
114,Nepal,2.3787327949,2.2513824547,2.0738882528,,2.2997839964,
115,Netherlands,0.86351414525,0.74212551397,0.72813305442,0.61398618012,0.55355057053,0.7754969745899999
116,New Zealand,0.9175416507999999,1.0180326784,0.94142951036,1.0401932852,1.0731306333,0.74435950948
117,Nicaragua,11.249421231,9.7979995586,8.5466829591,8.4200594096,7.1859479027,
118,Niger,4.4281581632,,,,,
119,Nigeria,,,,,34.524045903,
120,Norway,0.53852272446,0.90560807645,0.56395338322,0.46155381708000004,0.5141926699,0.52866856333
121,Oman,1.1149129324,2.5764946657,0.2979697089,0.37494074179,0.40185594938,0.51436735173
122,Pakistan,7.3932030962,7.2869088035,6.7975726090999995,4.7566288595,4.1820671272,3.9609206477999996
123,Palau,,,,16.98273422,0.0,0.0
124,Panama,16.893706233,17.286120757,15.481975162000001,11.868494062,10.032020724,9.6669786723
125,Paraguay,10.106657157,9.277644731599999,8.7582074101,9.224449545599999,9.8703458516,7.8781917963
126,Peru,6.6696512904,6.7609355361,6.8992167992999995,7.3742878373,7.8736246702,7.909223862799999
127,Philippines,8.7272602485,9.257465124600001,9.7061939277,9.4463785615,10.9768296,8.3918939553
128,Poland,1.0699234754,0.79930723911,0.75345694315,0.7835079258900001,0.6844047171500001,0.75619494927
129,Portugal,1.1590008577,1.3749609115,0.88306797781,0.9644739865,0.6391917517100001,0.7386868888
130,Puerto Rico,28.700124697,26.370879015,20.384130838,18.157557921,21.443011086,23.042814750999998
131,Qatar,0.31875006261,0.38517850242,0.36597237641,,,
132,Republic of Korea,0.86894615948,0.6991656887600001,0.74494292433,0.73785364514,0.70807296941,0.58908250459
133,Republic of Moldova,5.6185233637,4.1476616637,4.2961579827,4.6429304015,4.9188234273,3.4731741634
134,Republic of North Macedonia,1.3980788468,1.0596970711,1.6844901769999998,1.2023074685,0.9131340394299999,1.4889557905000002
135,Romania,1.0480798214,1.0828112162999999,1.6220860846,1.701364635,1.5457449581,1.297448057
136,Russian Federation,11.283117795,11.108920383,11.416734255,11.481183037000001,10.919951237000001,9.1341934226
137,Rwanda,2.426616648,3.3205266448,3.8615511219,2.5771686082,,
138,Saint Kitts and Nevis,36.085884405,,,,,
139,Saint Lucia,22.077054581,18.591025605,19.068236244,15.63101864,16.664074477,29.289049764
140,Saint Martin (French Part),5.403652869299999,21.943057765,22.211116664000002,16.729401924,27.730789496,
141,Saint Vincent and the Grenadines,25.821920966,,,,36.540692629,
142,Samoa,,3.1461051219,,,,
143,Saudi Arabia,,,,1.4881292059,,1.2658157867
144,Senegal,,,,0.26751815179,,
145,Serbia,1.2415946281,1.5921260174,1.3485746241,1.1715964026,1.3892084257,1.0645981148
146,Seychelles,4.3192812716,19.272567641,16.982614049000002,7.3698950316,12.537743833,
147,Sierra Leone,1.6834048756,,,1.7289678383000002,,
148,Singapore,0.20486197052000002,0.31171315349,0.2533648664,0.25035125175,0.31837980057,0.1927105652
149,Slovakia,1.1634576779999999,1.3095472821,1.2709995841,0.80947616957,1.0474088483,1.4684549266
150,Slovenia,0.68032962942,0.5816433363100001,0.77388599112,0.96562425919,0.4821124238,0.91504747411
151,South Africa,30.687457923,31.707788413000003,32.64326037,33.714071417,33.83169433,35.704418355
152,South Sudan,14.870994126,,,,,
153,Spain,0.7734303883600001,0.6435040165899999,0.69049660965,0.64707002941,0.63043953794,0.65812850334
154,Sri Lanka,3.2923255356,2.9956851004000002,2.6601230526,2.3292492872999997,2.5212670061,2.3002620027000003
155,State of Palestine,0.61298028184,0.5538221690899999,0.54192782696,1.1922740641,0.40986753944,0.71620668292
156,Suriname,,5.2987876739,5.7837109012,6.0808103932,7.2581401812,5.433820449
157,Sweden,0.71257784782,0.90455245656,0.89763485597,1.1469593953,1.0776735225,1.1408500544
158,Switzerland,0.5619376409100001,0.70293342752,0.49963423118,0.6870139301100001,0.53699828698,0.5321792848100001
159,Thailand,4.8985811642,4.2468565961,3.8706143485,3.4737927801999997,3.2317784062,2.5820036484
160,Timor-Leste,,,,4.0959830945,,
161,Tonga,0.9733686341700001,,,,,
162,Trinidad and Tobago,28.256695721,30.065568055,29.728327131999997,30.649506835,,
163,Tunisia,3.0607561008,,,,,
164,Turkey,4.3080441231,,,2.846067371,3.3384331397,3.0856872671
165,Turks and Caicos Islands,,11.516425302,5.6543496084000004,,,
166,Tuvalu,18.615040953,,,,,
167,Uganda,11.765488864000002,10.805580543,12.118164704000002,,11.304144982,11.502046271
168,Ukraine,5.1392837189,,6.3065916851,,,6.1837305712
169,United Arab Emirates,0.75479144893,0.61970613318,0.66202295548,0.64774558626,0.70505476192,0.4637824877
170,United Kingdom (England and Wales),0.95991012271,0.91486602683,0.8883678060100001,0.9847040393400001,1.212467928,1.2380076759999998
171,United Kingdom (Northern Ireland),1.1515468564,1.0930604326,0.92366305207,1.2421548470000001,0.9663959521,1.2808633864
172,United Kingdom (Scotland),1.1856368564,1.163729189,1.1593986087,1.0980830076,1.2026277225,1.0858208483
173,United Kingdom of Great Britain and Northern Ireland,0.97171187116,0.9279205047600001,0.9002943427500001,0.98997650309,1.1930988388,1.203402563
174,United Republic of Tanzania,8.6965701021,7.625332455800001,7.810160185700001,7.2762394188,6.4826575903,
175,United States Virgin Islands,49.27788939,,,,,
176,United States of America,4.7305490441,4.5255927962,4.4446756529,4.9498515188,5.3907547711,5.316767266
177,Uruguay,7.9018045413,7.6708927385,7.8813353217,8.5873060859,7.8267850692,8.2638736326
178,Uzbekistan,,,1.4789790731999999,1.6359756344,1.4121350041,1.1358027751000002
179,Venezuela (Bolivarian Republic of),54.739602532,,63.342599283,52.038062715,59.555296999,49.876745091000004
180,Yemen,6.603147871,6.7721494222,,,,
181,Zambia,6.118153785900001,5.8084416152,5.3572148665,5.3717496349000005,,
182,Zimbabwe,7.4798997709,,,,,
