Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Industrial production index,5.01.01.01.indust,Indonesia,IDN,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,India,IND,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,"Iran, Islamic Rep.",IRN,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Iraq,IRQ,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Jamaica,JAM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Jordan,JOR,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Kazakhstan,KAZ,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Kenya,KEN,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Kyrgyz Republic,KGZ,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Cambodia,KHM,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Kiribati,KIR,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,St. Kitts and Nevis,KNA,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Lao PDR,LAO,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Lebanon,LBN,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Liberia,LBR,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Libya,LBY,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,St. Lucia,LCA,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Sri Lanka,LKA,0,0,0,0,0,0,1,1,1,1
Industrial production index,5.01.01.01.indust,Lesotho,LSO,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Morocco,MAR,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Moldova,MDA,1,1,1,1,1,1,1,1,1,1
Industrial production index,5.01.01.01.indust,Madagascar,MDG,0,0,0,0,0,0,0,0,0,0
Industrial production index,5.01.01.01.indust,Maldives,MDV,0,0,0,0,0,0,0,0,0,0
